Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,50.227.86.201,142.234.39.38,192.168.1.69,Web_Training,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,198838,1,57127,80,57127,80,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605447,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.203,142.234.39.37,192.168.1.29,Exch2010_EMAIL_OWA,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,196991,1,50469,443,50469,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605452,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.202,142.234.39.37,192.168.1.32,RDS,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,179661,1,51652,443,51652,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605469,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,drop,0,8/19/2019 13:02,194.32.71.4,50.227.86.215,,,untrust-2-trust-ALL-DENY,,,ping,vsys1,untrust,trust,ethernet1/1,,To-Panorama,8/19/2019 13:02,0,1,0,0,0,0,0x100000,icmp,deny,60,60,0,1,8/19/2019 13:02,0,any,0,898605444,0x0,United Kingdom,United States,0,1,0,policy-deny,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,50.227.86.203,142.234.39.38,192.168.1.29,Exch2010_EMAIL_OWA,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,148546,1,48488,443,48488,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605414,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,40.107.72.84,50.227.86.203,40.107.72.84,192.168.1.29,Exch2010_EMAIL_OWA,,,smtp,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,154043,1,56860,25,56860,25,0x400050,tcp,allow,115332,106839,8493,136,8/19/2019 13:02,6,business-and-economy,0,898605432,0x0,United States,United States,0,86,50,tcp-rst-from-client,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,50.227.86.227,142.234.39.38,192.168.1.43,MemoQ,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,147274,1,38021,443,38021,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605413,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,50.227.86.240,142.234.39.36,192.168.1.20,RDS-Remote,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,200571,1,40706,443,40706,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605426,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.240,142.234.39.37,192.168.1.20,RDS-Remote,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,204296,1,59752,443,59752,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605433,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,50.227.86.227,142.234.39.4,192.168.1.43,MemoQ,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,93754,1,44412,443,44412,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605440,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,50.93.103.40,63.73.132.105,50.93.103.40,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,156655,1,49593,443,49593,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250303,0x0,Canada,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,63.73.132.108,142.234.39.4,10.32.2.202,MRYEdgeRelay_Inbound,,,incomplete,vsys1,outside,dmz,ethernet1/1,ethernet1/3.5,To-Panorama,8/19/2019 13:02,104152,1,44005,443,44005,443,0x404019,tcp,allow,252,60,192,4,8/19/2019 13:02,9,any,0,6074250315,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,35.185.12.219,50.205.86.73,35.185.12.219,10.32.130.129,PIWebsite_on_Comcast,,,web-browsing,vsys1,outside,inside,ethernet1/2,ethernet1/4,To-Panorama,8/19/2019 13:02,79820,1,43061,80,43061,80,0x41401c,tcp,allow,26289,919,25370,32,8/19/2019 13:02,0,business-and-economy,0,6074250323,0x0,United States,United States,0,9,23,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,63.73.132.116,,,datalink.pacinterp,,,incomplete,vsys1,outside,public_dmz,ethernet1/1,ethernet1/3.10,To-Panorama,8/19/2019 13:02,248871,1,54386,443,0,0,0x19,tcp,allow,380,60,320,6,8/19/2019 13:02,15,any,0,6074250333,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,190.113.103.45,63.73.132.104,190.113.103.45,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,229457,1,49312,443,49312,443,0x414053,tcp,allow,15662,4637,11025,35,8/19/2019 13:01,39,business-and-economy,0,6074250340,0x0,Costa Rica,United States,0,17,18,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,107.23.255.47,50.205.86.74,107.23.255.47,10.32.130.33,Verint_Prod_Comcast,,,ssl,vsys1,outside,inside,ethernet1/2,ethernet1/4,To-Panorama,8/19/2019 13:02,47090,1,14530,443,14530,443,0x41401c,tcp,allow,9658,1335,8323,26,8/19/2019 13:02,0,business-and-economy,0,6074250316,0x0,United States,United States,0,12,14,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,71.15.10.233,63.73.132.126,71.15.10.233,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,150916,1,60411,443,60411,443,0x40401c,tcp,allow,5387,1154,4233,16,8/19/2019 13:02,0,business-and-economy,0,6074250331,0x0,United States,United States,0,8,8,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.174.69.106,63.73.132.126,201.174.69.106,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,46087,1,59408,443,59408,443,0x40401c,tcp,allow,5387,1154,4233,16,8/19/2019 13:02,0,business-and-economy,0,6074250370,0x0,Mexico,United States,0,8,8,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,172.115.107.195,63.73.132.104,172.115.107.195,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,208672,1,56974,443,56974,443,0x414053,tcp,allow,15040,4292,10748,33,8/19/2019 13:02,0,business-and-economy,0,6074250374,0x0,United States,United States,0,16,17,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.227,142.234.39.37,192.168.1.43,MemoQ,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,54472,1,47058,443,47058,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605402,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,187.189.49.39,63.73.132.104,187.189.49.39,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,168836,1,37711,443,37711,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250299,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.155.200.206,63.73.132.104,209.155.200.206,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,35767,1,52030,443,52030,443,0x414053,tcp,allow,12355,2654,9701,50,8/19/2019 12:57,300,business-and-economy,0,6074250341,0x0,United States,United States,0,24,26,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,192.141.244.201,63.73.132.104,192.141.244.201,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,212789,1,54797,443,54797,443,0x41401c,tcp,allow,8242,736,7506,21,8/19/2019 13:02,3,business-and-economy,0,6074250350,0x0,Mexico,United States,0,9,12,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,24.116.29.14,63.73.132.104,24.116.29.14,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,45022,1,52969,443,52969,443,0x414053,tcp,allow,15234,4352,10882,36,8/19/2019 13:02,1,business-and-economy,0,6074250364,0x0,United States,United States,0,17,19,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.239.227.80,63.73.132.105,177.239.227.80,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,203985,1,62330,443,62330,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250302,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,63.73.132.102,142.234.39.4,10.32.130.101,beta-my,,,incomplete,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,123621,1,44262,443,44262,443,0x414019,tcp,allow,360,60,300,6,8/19/2019 13:02,16,any,0,6074250375,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,63.73.132.44,142.234.39.38,10.32.138.40,Rule 93,,,incomplete,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,14456,1,57669,22,57669,22,0x404019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,6074250377,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,50.227.86.240,142.234.39.36,192.168.1.20,RDS-Remote,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,76192,1,63762,443,63762,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605376,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035857,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.37,50.227.86.201,142.234.39.37,192.168.1.69,Web_Training,,,incomplete,vsys1,untrust,trust,ethernet1/1,ethernet1/2,To-Panorama,8/19/2019 13:02,160569,1,35167,443,35167,443,0x400019,tcp,allow,240,60,180,4,8/19/2019 13:02,9,any,0,898605389,0x0,Netherlands,United States,0,1,3,aged-out,15,0,0,0,,OR-02-LLS-PALOALTO-FW,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.45.66.146,63.73.132.18,209.45.66.146,10.255.0.56,Rule 82,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,13821,1,11031,443,11031,443,0x40401b,tcp,allow,5908,678,5230,14,8/19/2019 13:02,1,business-and-economy,0,6074250135,0x0,Peru,United States,0,7,7,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,50.205.86.74,142.234.39.36,10.32.130.33,Verint_Prod_Comcast,,,incomplete,vsys1,outside,inside,ethernet1/2,ethernet1/4,To-Panorama,8/19/2019 13:02,56777,1,47731,443,47731,443,0x414019,tcp,allow,360,60,300,6,8/19/2019 13:02,15,any,0,6074250138,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,172.115.107.195,63.73.132.105,172.115.107.195,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,123732,1,56972,443,56972,443,0x414053,tcp,allow,15040,4292,10748,33,8/19/2019 13:02,0,business-and-economy,0,6074250147,0x0,United States,United States,0,16,17,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,209.45.66.146,63.73.132.18,209.45.66.146,10.255.0.56,Rule 82,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,100634,1,8838,443,8838,443,0x40401b,tcp,allow,5908,678,5230,14,8/19/2019 13:02,2,business-and-economy,0,6074250155,0x0,Peru,United States,0,7,7,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.174.69.106,63.73.132.105,201.174.69.106,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,72793,1,46256,443,46256,443,0x414053,tcp,allow,12221,2664,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250181,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.174.69.106,63.73.132.104,201.174.69.106,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,176280,1,34074,443,34074,443,0x414053,tcp,allow,16198,4771,11427,35,8/19/2019 13:02,0,business-and-economy,0,6074250197,0x0,Mexico,United States,0,17,18,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,190.92.34.166,63.73.132.104,190.92.34.166,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,9391,1,64741,443,64741,443,0x414053,tcp,allow,12203,2646,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250208,0x0,Honduras,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,4.14.253.186,63.73.132.110,,,llsexchange_Inbound_Users,,,ssl,vsys1,outside,public_dmz,ethernet1/1,ethernet1/3.10,To-Panorama,8/19/2019 13:02,92141,1,58672,443,0,0,0x0,tcp,allow,13312,1558,11754,39,8/19/2019 12:57,198,business-and-economy,0,6074250215,0x0,United States,United States,0,12,27,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,187.175.37.24,63.73.132.104,187.175.37.24,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,141645,1,61076,443,61076,443,0x414053,tcp,allow,12223,2666,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250248,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,184.64.115.193,63.73.132.105,184.64.115.193,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,162747,1,64141,443,64141,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,300,business-and-economy,0,6074250224,0x0,Canada,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,69.244.157.146,63.73.132.126,69.244.157.146,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,37800,1,55179,443,55179,443,0x40401c,tcp,allow,5447,1154,4293,17,8/19/2019 13:02,0,business-and-economy,0,6074250228,0x0,United States,United States,0,8,9,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.237.169.78,63.73.132.105,177.237.169.78,10.32.136.222,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,21184,1,39488,443,39488,443,0x414053,tcp,allow,12207,2650,9557,49,8/19/2019 12:57,301,business-and-economy,0,6074250230,0x0,Mexico,United States,0,24,25,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,177.245.75.104,63.73.132.104,177.245.75.104,10.32.130.93,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,53215,1,63050,443,63050,443,0x414053,tcp,allow,14984,4236,10748,32,8/19/2019 13:02,1,business-and-economy,0,6074250246,0x0,Mexico,United States,0,15,17,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.160.204.56,63.73.132.39,201.160.204.56,10.32.130.142,Rule 76,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,58058,1,53388,7002,53388,7002,0x50401c,tcp,allow,7863,1173,6690,21,8/19/2019 13:01,37,business-and-economy,0,6074250158,0x0,Mexico,United States,0,11,10,tcp-fin,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,24.10.109.73,63.73.132.126,24.10.109.73,10.255.0.59,Rule 79,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,184076,1,59083,443,59083,443,0x40401c,tcp,allow,5447,1154,4293,17,8/19/2019 13:02,0,business-and-economy,0,6074250166,0x0,United States,United States,0,8,9,tcp-rst-from-client,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.4,63.73.132.27,142.234.39.4,10.32.2.253,Bomgar_Inbound,,,incomplete,vsys1,outside,dmz,ethernet1/1,ethernet1/3.5,To-Panorama,8/19/2019 13:02,13734,1,56161,443,56161,443,0x404019,tcp,allow,380,60,320,6,8/19/2019 13:02,16,any,0,6074250171,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.38,63.73.132.105,142.234.39.38,10.32.136.222,Rule 79,,,incomplete,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,55645,1,47402,443,47402,443,0x414019,tcp,allow,360,60,300,6,8/19/2019 13:02,16,any,0,6074250172,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,142.234.39.36,63.73.132.116,,,datalink.pacinterp,,,incomplete,vsys1,outside,public_dmz,ethernet1/1,ethernet1/3.10,To-Panorama,8/19/2019 13:02,10302,1,44376,443,0,0,0x19,tcp,allow,380,60,320,6,8/19/2019 13:02,15,any,0,6074250201,0x0,Netherlands,United States,0,1,5,aged-out,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,end,0,8/19/2019 13:02,201.166.178.69,63.73.132.124,201.166.178.69,10.32.130.178,Rule 83,,,ssl,vsys1,outside,inside,ethernet1/1,ethernet1/4,To-Panorama,8/19/2019 13:02,186439,1,54559,443,54559,443,0x40401b,tcp,allow,16295,1814,14481,41,8/19/2019 13:00,127,business-and-economy,0,6074250221,0x0,Mexico,United States,0,22,19,tcp-rst-from-server,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
0,8/19/2019 13:02,1801035916,TRAFFIC,drop,0,8/19/2019 13:02,191.100.11.212,50.205.86.74,,,Rule 9-,,,not-applicable,vsys1,outside,inside,ethernet1/2,,To-Panorama,8/19/2019 13:02,0,1,47303,2004,0,0,0x0,tcp,deny,74,74,0,1,8/19/2019 13:02,0,any,0,6074250254,0x0,Ecuador,United States,0,1,0,policy-deny,15,0,0,0,,CA-01-LLS-PALOALTO-FW1,from-policy,,,0,,0,,N/A,0,0,0,0
